Red Zone Area Name,Latitude ,Longitude 
"Ahmad Nagar, Srinagar",34.1677071,74.8014302
"Lal Bazar, Srinagar",34.1334394,74.8065323
"Hawal, Srinagar",34.1091694,74.8027791
"Nowshera, Srinagar",34.1301129,74.7995631
"Nishat, Srinagar",34.1339047,74.8724774
"Khayam, Srinagar",34.0846904,74.8207217
"Hyderpora, Srinagar",34.0429188,74.7696564
"Bemina, Srinagar",34.0796209,74.7515742
"Jawahar Nagar, Srinagar",33.7525122,75.1895571
"Natipora, Srinagar",34.0796209,74.7515742
"Lasjan, Srinagar",34.0423117,74.8614407
"Tengpora, Srinagar",34.0566591,74.7845443
